,giniCoefficient,shannonsEntropy,LUSD.netSwapFlow,LUSD.netLPFlow,3Crv.netSwapFlow,3Crv.netLPFlow
2023-03-22 02:37:00,0.3563664652782941,0.5936642278667013,0.0,0,0.0,0
2023-03-22 02:38:00,0.35760949834583194,0.5904500448556227,0.0,0,0.0,0
2023-03-22 02:39:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:40:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:41:00,0.3563664652782941,0.5936642278667013,0.0,0,0.0,0
2023-03-22 02:42:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:43:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:44:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:45:00,0.3577002037158262,0.5902135915879245,0.0,0,0.0,0
2023-03-22 02:46:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 02:47:00,0.3580983120886573,0.5891856129095436,0.0,0,0.0,0
2023-03-22 02:48:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:49:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:50:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:51:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:52:00,0.3581403095096066,0.5890794066177815,0.0,0,0.0,0
2023-03-22 02:53:00,0.3562757599082998,0.5939006811343994,0.0,0,0.0,0
2023-03-22 02:54:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:55:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 02:56:00,0.3562757599082998,0.5939006811343994,0.0,0,0.0,0
2023-03-22 02:57:00,0.3562757599082998,0.5939006811343994,0.0,0,0.0,0
2023-03-22 02:58:00,0.3582310148796009,0.5888429533500833,0.0,0,0.0,0
2023-03-22 02:59:00,0.3582310148796009,0.5888429533500833,0.0,0,0.0,0
2023-03-22 03:00:00,0.3583217202495952,0.5886065000823852,0.0,0,0.0,0
2023-03-22 03:01:00,0.3568972764420687,0.5922935896288601,0.0,0,0.0,0
2023-03-22 03:02:00,0.3562757599082998,0.5939006811343994,0.0,0,0.0,0
2023-03-22 03:03:00,0.3587618260433756,0.5874723151122422,0.0,0,0.0,0
2023-03-22 03:04:00,0.35751879297583766,0.5906864981233209,0.0,0,0.0,0
2023-03-22 03:05:00,0.3519932969443385,0.604810250496519,0.0,0,0.0,0
2023-03-22 03:06:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:07:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:08:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:09:00,0.0,0.0,0.0,0,0.0,0
2023-03-22 03:10:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:11:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:12:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:13:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:14:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:15:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:16:00,0.35395456898834204,0.5998070072848521,0.0,0,0.0,0
2023-03-22 03:17:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
2023-03-22 03:18:00,0.3510780603367904,0.6071358699606642,0.0,0,0.0,0
